"Rowid","min","median","max","mean"
40,0.00168079999275506,0.00486650783568621,0.0204235427081585,0.00725885736756027
41,0.00135547062382102,0.00251362891867757,0.0185451880097389,0.00511443019668395
42,0.00311376387253404,0.00311376387253404,0.00311376387253404,0.00311376387253404
43,0.000337402278091758,0.00137239915784448,0.0523676760494709,0.00294689202087492
44,0.00112423987593502,0.00156768650049344,0.0031230547465384,0.00179739588929806
45,0.000308495276840404,0.000655525509500876,0.00653869099915028,0.00111975195529318
46,0.0049971635453403,0.0049971635453403,0.0049971635453403,0.0049971635453403
47,0.00271953362971544,0.00297838333062828,0.00538655091077089,0.00370852528139949
48,0.000375996285583824,0.000604561006184667,0.00452233524993062,0.000842046431744104
49,0.00016579897783231,0.000470466911792755,0.00321594695560634,0.000755246188222932
50,0.00298364250920713,0.00326109142042696,0.00455518532544374,0.0036163464654237
51,0.00523128779605031,0.00523128779605031,0.00523128779605031,0.00523128779605031
52,0.000884901848621666,0.00196704792324454,0.00627098046243191,0.00246031699498417
53,0.00173123308923095,0.00287583726458251,0.00589702464640141,0.00344105921976734
54,0.000706356251612306,0.00223824742715806,0.00488196359947324,0.00236455999644628
55,0.000450437306426466,0.000922362552955747,0.00570136122405529,0.00138642808010583
56,0.00316087948158383,0.00531321694143116,0.0139544364064932,0.00671626468344281
57,0.00124321389012039,0.00309106928762048,0.0140903200954199,0.00549284863518551
58,0.0060128471814096,0.00656045693904161,0.00710806669667363,0.00656045693904161
59,0.0132070137187839,0.0141138965263963,0.0150207793340087,0.0141138965263963
60,0.00605862075462937,0.0082215117290616,0.0156828537583351,0.00998766208067536
61,0.00605031521990895,0.00605031521990895,0.00605031521990895,0.00605031521990895
62,0.00293186376802623,0.00755343935452402,0.0100369388237596,0.00701892032520846
63,0.00205654930323362,0.00536198914051056,0.0197245310992002,0.0064492459098498
64,0.00484051741659641,0.00484051741659641,0.00484051741659641,0.00484051741659641
65,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371
66,0.0017978836549446,0.00544997956603765,0.0248344074934721,0.00986108389826348
67,0.000657631491776556,0.0012568398960866,0.0056343455798924,0.00176263204775751
68,0.00874188914895058,0.00874188914895058,0.00874188914895058,0.00874188914895058
69,0.000946220476180315,0.00247543444857001,0.0173577815294266,0.00340411992510781
70,0.00359295844100416,0.00359295844100416,0.00359295844100416,0.00359295844100416
71,0.00149081950075924,0.0032647013431415,0.023246580734849,0.00465775829507038
72,0.0264167319983244,0.0264167319983244,0.0264167319983244,0.0264167319983244
73,0.00207542604766786,0.00429412070661783,0.00934813264757395,0.00495066402408366
74,0.000718326307833195,0.00204607687192038,0.00502774119377136,0.00237913942287883
75,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371
76,0.00216334383003414,0.00301625032443553,0.00421591615304351,0.00308281683828682
77,0.00149101624265313,0.00203680398408324,0.0155463675037026,0.00339874034271697
78,0.000891593692358583,0.00148556521162391,0.00404888903722167,0.00194689380484359
79,0.00012857977708336,0.000719462550478056,0.00700128823518753,0.000881761333578788
80,0.00730007700622082,0.00730007700622082,0.00730007700622082,0.00730007700622082
81,0.00662248488515615,0.0115772215649486,0.0143745755776763,0.0110378758981824
82,0.0114046558737755,0.0161333186551929,0.0208619814366102,0.0161333186551929
83,0.00135219236835837,0.0029001091606915,0.0149348145350814,0.00440671901024076
84,0.000919443322345614,0.00242850952781737,0.00749931111931801,0.00303439360471781
85,0.0024712816812098,0.0051197549328208,0.0142232067883015,0.00685886922292411
86,0.00334294582717121,0.00627523381263018,0.0137296374887228,0.00745579875850429
87,0.00779037550091743,0.0147359957918525,0.0219334401190281,0.0147989518009126
88,0.000418394774897024,0.000953963142819703,0.00422957586124539,0.00123317994912791
89,0.00137891178019345,0.00439370097592473,0.0140574295073748,0.00560767677448252
90,0.00168894522357732,0.00406638416461647,0.0170437674969435,0.0049412860647023
91,0.00098231213632971,0.00347799039445817,0.0119304340332747,0.00366439670853486
92,0.00489624217152596,0.0173710659146309,0.0335388854146004,0.0157394640975528
93,0.0115651451051235,0.0120628448203206,0.0140652256086469,0.0125644051780303
94,0.0312932543456554,0.0312932543456554,0.0312932543456554,0.0312932543456554
95,0.00578556628897786,0.00578556628897786,0.00578556628897786,0.00578556628897786
96,0.00149085104931146,0.00238829967565835,0.00328801362775266,0.00245648513373453
97,0.00239708414301276,0.00270342524163425,0.00300976634025574,0.00270342524163425
98,0.00527193723246455,0.00633972464129329,0.00769168790429831,0.00643444992601871
99,0.00255591026507318,0.00617903331294656,0.0115114310756326,0.00614413876167458
100,0.004413025919348,0.00728935422375798,0.0315356329083443,0.0112776280939579
101,0.00280171236954629,0.00280171236954629,0.00280171236954629,0.00280171236954629
102,0.000636243261396885,0.00145039986819029,0.00354422186501324,0.0015956814491397
103,0.00132318050600588,0.00317507004365325,0.0102892080321908,0.00429121784823523
104,0.0167573355138302,0.0227023875340819,0.0286474395543337,0.0227023875340819
105,0.0133856320753694,0.0133856320753694,0.0133856320753694,0.0133856320753694
106,0.00251450901851058,0.00251450901851058,0.00251450901851058,0.00251450901851058
107,0.000669920176733285,0.000969886023085564,0.00498146051540971,0.00154650236239474
108,0.000793643936049193,0.00280613731592894,0.0142960892990232,0.00408308393805503
109,0.00209706672467291,0.00301569723524153,0.0149481752887368,0.00470233905467797
110,0.00139220885466784,0.00344952568411827,0.0140230813995004,0.00559624179732054
111,0.000671744055580348,0.00250452058389783,0.0130459181964397,0.0041414060430655
112,0.000961864832788706,0.0030400549294427,0.00844244193285704,0.00385181788587943
113,0.0318112671375275,0.0322823114693165,0.0327533558011055,0.0322823114693165
114,0.00233647995628417,0.00687674432992935,0.0162343662232161,0.0078334916906897
115,0.00296861282549798,0.00305681012105197,0.00314500741660595,0.00305681012105197
116,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371
117,0.00586398225277662,0.00596463354304433,0.00606528483331203,0.00596463354304433
118,0.0210212338715792,0.0210212338715792,0.0210212338715792,0.0210212338715792
