"Rowid","min","median","max","mean"
40,0.0076277507469058,0.0076277507469058,0.0076277507469058,0.0076277507469058
41,0.0722947716712952,0.0722947716712952,0.0722947716712952,0.0722947716712952
42,0.0199064668267965,0.0284918453544378,0.0410712696611881,0.0296700389683247
43,0.0115325022488832,0.0195388663560152,0.0551909320056438,0.0209922115769117
44,0.00529667641967535,0.0356166027486324,0.0968331545591354,0.0348746447265873
45,0.0821580216288567,0.0821580216288567,0.0821580216288567,0.0821580216288567
46,0.0205568503588438,0.0383949968963861,0.104859381914139,0.0459793285515748
47,0.00233189598657191,0.00380927324295044,0.00752955675125122,0.00455840673696782
48,0.00685236090794206,0.0083205234259367,0.0098273828625679,0.00833019765559584
49,0.00876602996140718,0.00876602996140718,0.00876602996140718,0.00876602996140718
50,0.00486331339925528,0.00486331339925528,0.00486331339925528,0.00486331339925528
51,0.0135180689394474,0.0214664321392775,0.0299335140734911,0.0217342799888891
52,0.0193508677184582,0.0266812797635794,0.111273050308228,0.040436162169163
53,0.0101624866947532,0.0234377421438694,0.0717514902353287,0.0257005895372857
54,0.0201600585132837,0.0201600585132837,0.0201600585132837,0.0201600585132837
55,0.0128282271325588,0.0178853524848819,0.0388690382242203,0.0188748445620553
56,0.0236399415880442,0.0286170020699501,0.0327915027737617,0.0274389425499572
57,0.051633782684803,0.0579556524753571,0.0682169124484062,0.0589405000209808
58,0.0231358017772436,0.0286502651870251,0.0420248880982399,0.0288640252004067
59,0.0284953583031893,0.0443181283771992,0.0720104426145554,0.0460207613185048
60,0.0220717266201973,0.0359400659799576,0.0576957911252975,0.037679433512191
61,0.0110108759254217,0.0126627339050174,0.0160056073218584,0.0132264057174325
62,0.00415578065440059,0.028179120272398,0.0649213567376137,0.0272872519227817
63,0,0.095391720533371,10.5848245620728,0.108063292640145
64,0.0458861701190472,0.0562358424067497,0.0741135627031326,0.0565163252564768
65,0.0138944806531072,0.0197445265948772,0.0239086337387562,0.0194614818319678
66,0.0200908295810223,0.0200908295810223,0.0200908295810223,0.0200908295810223
67,0.037712138146162,0.037712138146162,0.037712138146162,0.037712138146162
68,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371
69,0.0175371654331684,0.0507110916078091,0.0788707360625267,0.0501663688056428
70,0.135017439723015,0.135017439723015,0.135017439723015,0.135017439723015
71,0.0118491491302848,0.0288427341729403,0.0536823198199272,0.0288061921490663
72,0.0147467749193311,0.0201003588736057,0.0374967493116856,0.022515632570363
73,0.0195269249379635,0.0249664075672626,0.025626527145505,0.0233732865502437
74,0.00961776729673147,0.0120746595785022,0.0144021948799491,0.0120759336277843
75,0.00223331060260534,0.0337589308619499,0.106987006962299,0.0355926569255558
76,0.24844616651535,0.24844616651535,0.24844616651535,0.24844616651535
77,0.0276081971824169,0.0396069884300232,0.0500488728284836,0.0387933706178477
78,0.0257195699959993,0.030160372145474,0.0334635563194752,0.0301910427709421
79,0.0209270305931568,0.0326953791081905,0.051184605807066,0.0333336920011789
80,0.0366878695785999,0.0366878695785999,0.0366878695785999,0.0366878695785999
81,0.0313319191336632,0.0452245343476534,0.0809030532836914,0.0472690548126896
