"layer","id","dist","id_neighbour"
1,195,20,1
1,201,20,1
1,204,100.498756211209,209
1,206,28.2842712474619,1
1,208,41.2310562561766,1
1,209,85.4400374531753,233
1,210,22.3606797749979,1
1,211,78.1024967590665,1
1,212,50,220
1,214,22.3606797749979,1
1,217,22.3606797749979,1
1,220,50,212
1,221,42.4264068711929,1
1,228,98.488578017961,238
1,232,36.0555127546399,1
1,232,36.0555127546399,263
1,233,22.3606797749979,242
1,235,36.0555127546399,242
1,237,22.3606797749979,256
1,238,78.1024967590665,244
1,239,28.2842712474619,1
1,242,22.3606797749979,233
1,244,78.1024967590665,238
1,247,50,193
1,248,50,237
1,255,41.2310562561766,260
1,256,22.3606797749979,237
1,258,170.293863659264,262
1,259,53.851648071345,270
1,260,41.2310562561766,255
1,261,42.4264068711929,1
1,262,31.6227766016838,263
1,263,31.6227766016838,262
1,264,30,1
1,270,53.851648071345,259
1,274,56.5685424949238,1
1,276,30,295
1,282,31.6227766016838,1
1,285,22.3606797749979,1
1,288,30,302
1,289,44.7213595499958,282
1,293,28.2842712474619,1
1,295,30,276
1,301,44.7213595499958,302
1,302,30,288
1,303,104.403065089105,319
1,308,22.3606797749979,310
1,309,30,320
1,310,22.3606797749979,308
1,316,125.299640861417,1
1,317,50,1
1,319,104.403065089105,303
1,320,22.3606797749979,324
1,324,22.3606797749979,320
1,325,22.3606797749979,326
1,326,22.3606797749979,325
1,328,20,1
1,332,50,337
1,333,20,348
1,337,50,332
1,340,44.7213595499958,1
1,346,50,1
1,348,20,333
1,354,102.95630140987,1
1,355,162.788205960997,337
1,357,50.9901951359278,1
1,361,31.6227766016838,1
1,363,36.0555127546399,376
1,369,22.3606797749979,372
1,370,40,371
1,371,40,370
1,372,22.3606797749979,369
1,375,44.7213595499958,1
1,376,36.0555127546399,363
1,382,20,1
1,383,53.851648071345,326
1,387,86.0232526704263,337
1,389,60.8276253029822,417
1,390,22.3606797749979,404
1,393,60.8276253029822,371
1,394,22.3606797749979,401
1,396,20,1
1,400,20,1
1,401,22.3606797749979,394
1,403,50.9901951359278,1
1,404,22.3606797749979,390
1,406,125.299640861417,1
1,411,50,1
1,412,22.3606797749979,1043
1,412,22.3606797749979,936
1,415,20,1
1,417,60.8276253029822,389
1,418,22.3606797749979,415
1,419,31.6227766016838,421
1,419,31.6227766016838,418
1,420,50,376
1,421,22.3606797749979,422
1,422,22.3606797749979,421
1,425,40,521
1,428,100.498756211209,1
1,430,101.980390271856,1
1,431,22.3606797749979,470
1,433,60,470
1,437,31.6227766016838,441
1,440,44.7213595499958,445
1,441,31.6227766016838,437
1,442,50,431
1,445,44.7213595499958,440
1,452,50,458
1,453,28.2842712474619,1
1,455,20,466
1,457,192.353840616713,417
1,458,36.0555127546399,473
1,466,20,455
1,469,22.3606797749979,466
1,470,20,562
1,472,31.6227766016838,1
1,473,36.0555127546399,458
1,477,50,1
1,478,130.384048104053,1
1,484,20,500
1,486,28.2842712474619,150
1,489,22.3606797749979,490
1,490,20,1
1,497,72.1110255092798,518
1,498,148.660687473185,1
1,500,20,484
1,501,40,470
1,507,28.2842712474619,150
1,511,31.6227766016838,635
1,514,41.2310562561766,1
1,518,20,582
1,521,40,425
1,530,50,1
1,535,50,548
1,537,36.0555127546399,412
1,538,58.309518948453,1
1,539,70.7106781186548,1
1,544,136.014705087354,1
1,548,50,535
1,550,20,1
1,552,120.830459735946,1
1,558,22.3606797749979,563
1,559,30,1
1,561,50,1
1,562,20,470
1,563,22.3606797749979,558
1,565,85.4400374531753,548
1,566,60.8276253029822,574
1,567,191.049731745428,562
1,569,22.3606797749979,608
1,571,145.60219778561,544
1,573,40,1
1,574,36.0555127546399,412
1,579,36.0555127546399,1
1,582,20,518
1,582,20,583
1,583,20,582
1,585,22.3606797749979,582
1,585,22.3606797749979,612
1,587,28.2842712474619,1
1,600,22.3606797749979,1
1,604,22.3606797749979,150
1,606,20,638
1,607,50,620
1,608,22.3606797749979,569
1,610,70,1
1,612,22.3606797749979,585
1,615,92.1954445729289,600
1,620,22.3606797749979,623
1,623,22.3606797749979,620
1,626,44.7213595499958,425
1,627,31.6227766016838,623
1,635,31.6227766016838,511
1,638,20,606
1,650,31.6227766016838,1
1,656,22.3606797749979,670
1,662,40,1
1,670,22.3606797749979,606
1,670,22.3606797749979,656
1,674,22.3606797749979,1
1,679,41.2310562561766,606
