"layer","level","class","id","metric","value","areasqkm"
1,"patch",1,463,"area",0.11,0.0011
1,"patch",1,464,"area",0.02,2e-04
1,"patch",1,465,"area",0.01,1e-04
1,"patch",1,466,"area",0.11,0.0011
1,"patch",1,467,"area",3.11,0.0311
1,"patch",1,468,"area",0.02,2e-04
1,"patch",1,469,"area",0.09,9e-04
1,"patch",1,470,"area",0.01,1e-04
1,"patch",1,471,"area",0.01,1e-04
1,"patch",1,472,"area",0.01,1e-04
1,"patch",1,473,"area",0.01,1e-04
1,"patch",1,474,"area",0.07,7e-04
1,"patch",1,475,"area",0.03,3e-04
1,"patch",1,476,"area",0.33,0.0033
1,"patch",1,477,"area",0.04,4e-04
1,"patch",1,478,"area",0.04,4e-04
1,"patch",1,479,"area",0.09,9e-04
1,"patch",1,480,"area",0.08,8e-04
1,"patch",1,481,"area",0.01,1e-04
1,"patch",1,482,"area",0.02,2e-04
1,"patch",1,483,"area",0.01,1e-04
1,"patch",1,484,"area",0.15,0.0015
1,"patch",1,485,"area",0.01,1e-04
1,"patch",1,486,"area",0.01,1e-04
1,"patch",1,487,"area",0.11,0.0011
1,"patch",1,488,"area",0.07,7e-04
1,"patch",1,489,"area",0.07,7e-04
1,"patch",1,490,"area",0.01,1e-04
1,"patch",1,491,"area",0.01,1e-04
1,"patch",1,492,"area",0.04,4e-04
1,"patch",1,493,"area",0.01,1e-04
1,"patch",1,494,"area",0.01,1e-04
1,"patch",1,495,"area",35.36,0.3536
1,"patch",1,496,"area",0.01,1e-04
1,"patch",1,497,"area",0.01,1e-04
1,"patch",1,498,"area",0.05,5e-04
1,"patch",1,499,"area",0.01,1e-04
1,"patch",1,500,"area",0.04,4e-04
1,"patch",1,501,"area",0.01,1e-04
1,"patch",1,502,"area",0.06,6e-04
1,"patch",1,503,"area",0.02,2e-04
1,"patch",1,504,"area",0.17,0.0017
1,"patch",1,505,"area",0.04,4e-04
1,"patch",1,506,"area",0.04,4e-04
1,"patch",1,507,"area",0.01,1e-04
1,"patch",1,508,"area",0.07,7e-04
1,"patch",1,509,"area",1.11,0.0111
1,"patch",1,510,"area",0.06,6e-04
1,"patch",1,511,"area",0.07,7e-04
1,"patch",1,512,"area",0.31,0.0031
1,"patch",1,513,"area",0.08,8e-04
1,"patch",1,514,"area",0.01,1e-04
1,"patch",1,515,"area",0.01,1e-04
1,"patch",1,516,"area",0.01,1e-04
1,"patch",1,517,"area",0.01,1e-04
1,"patch",1,518,"area",0.05,5e-04
1,"patch",1,519,"area",0.35,0.0035
1,"patch",1,520,"area",0.06,6e-04
1,"patch",1,521,"area",0.01,1e-04
1,"patch",1,522,"area",0.02,2e-04
1,"patch",1,523,"area",0.02,2e-04
1,"patch",1,524,"area",0.01,1e-04
