"layer","level","class","id","metric","value","coreareasqkm"
1,"patch",1,358,"core",0,0
1,"patch",1,359,"core",0,0
1,"patch",1,360,"core",0,0
1,"patch",1,361,"core",0.19,0.0019
1,"patch",1,362,"core",233.26,2.3326
1,"patch",1,363,"core",0,0
1,"patch",1,364,"core",17.1,0.171
1,"patch",1,365,"core",0,0
1,"patch",1,366,"core",0,0
1,"patch",1,367,"core",0,0
1,"patch",1,368,"core",0,0
1,"patch",1,369,"core",0,0
1,"patch",1,370,"core",0,0
1,"patch",1,371,"core",3.92,0.0392
1,"patch",1,372,"core",0,0
1,"patch",1,373,"core",0,0
1,"patch",1,374,"core",0,0
1,"patch",1,375,"core",0,0
1,"patch",1,376,"core",0,0
1,"patch",1,377,"core",0,0
1,"patch",1,378,"core",0,0
1,"patch",1,379,"core",0,0
1,"patch",1,380,"core",0.21,0.0021
1,"patch",1,381,"core",872.47,8.7247
1,"patch",1,382,"core",19.51,0.1951
1,"patch",1,383,"core",0,0
1,"patch",1,384,"core",0,0
1,"patch",1,385,"core",0,0
1,"patch",1,386,"core",0,0
1,"patch",1,387,"core",0,0
1,"patch",1,388,"core",0,0
1,"patch",1,389,"core",26.05,0.2605
1,"patch",1,390,"core",0,0
1,"patch",1,391,"core",27.94,0.2794
1,"patch",1,392,"core",0,0
1,"patch",1,393,"core",0.1,0.001
1,"patch",1,394,"core",0,0
1,"patch",1,395,"core",0.12,0.0012
1,"patch",1,396,"core",0,0
1,"patch",1,397,"core",0,0
1,"patch",1,398,"core",0,0
1,"patch",1,399,"core",0,0
1,"patch",1,400,"core",0,0
1,"patch",1,401,"core",0,0
1,"patch",1,402,"core",0,0
1,"patch",1,403,"core",150.82,1.5082
1,"patch",1,404,"core",0,0
1,"patch",1,405,"core",0,0
1,"patch",1,406,"core",0,0
1,"patch",1,407,"core",0,0
1,"patch",1,408,"core",0,0
1,"patch",1,409,"core",0,0
1,"patch",1,410,"core",0,0
1,"patch",1,411,"core",0,0
1,"patch",1,412,"core",0,0
1,"patch",1,413,"core",0,0
1,"patch",1,414,"core",0,0
1,"patch",1,415,"core",0,0
1,"patch",1,416,"core",0,0
1,"patch",1,417,"core",0,0
