"layer","level","class","id","metric","value"
1,"patch",1,335,"shape",1
1,"patch",1,336,"shape",1
1,"patch",1,337,"shape",1
1,"patch",1,338,"shape",1
1,"patch",1,339,"shape",1.06066017177982
1,"patch",1,340,"shape",1.76776695296637
1,"patch",1,341,"shape",1.06066017177982
1,"patch",1,342,"shape",1
1,"patch",1,343,"shape",1.06066017177982
1,"patch",1,344,"shape",1.5
1,"patch",1,345,"shape",1.06066017177982
1,"patch",1,346,"shape",1
1,"patch",1,347,"shape",1.23743686707646
1,"patch",1,348,"shape",1
1,"patch",1,349,"shape",1.11803398874989
1,"patch",1,350,"shape",1
1,"patch",1,351,"shape",1.88982236504614
1,"patch",1,352,"shape",1
1,"patch",1,353,"shape",1.06066017177982
1,"patch",1,354,"shape",1.24807544150677
1,"patch",1,355,"shape",1
1,"patch",1,356,"shape",2
1,"patch",1,357,"shape",1.06066017177982
1,"patch",1,358,"shape",2.16666666666667
1,"patch",1,359,"shape",1.06066017177982
1,"patch",1,360,"shape",1
1,"patch",1,361,"shape",2.11057941204435
1,"patch",1,362,"shape",1
1,"patch",1,363,"shape",1.06066017177982
1,"patch",1,364,"shape",2.82842712474619
1,"patch",1,365,"shape",1
1,"patch",1,366,"shape",2.59807621135332
1,"patch",1,367,"shape",1
1,"patch",1,368,"shape",1.73205080756888
1,"patch",1,369,"shape",1
1,"patch",1,370,"shape",1
1,"patch",1,371,"shape",1.06066017177982
1,"patch",1,372,"shape",1.70895576341943
1,"patch",1,373,"shape",1
1,"patch",1,374,"shape",2
1,"patch",1,375,"shape",1.06066017177982
1,"patch",1,376,"shape",1.34164078649987
1,"patch",1,377,"shape",1
1,"patch",1,378,"shape",1
1,"patch",1,379,"shape",4.31978845696419
1,"patch",1,380,"shape",1.66698714867456
1,"patch",1,381,"shape",1.94454364826301
1,"patch",1,382,"shape",2.11057941204435
1,"patch",1,383,"shape",1.73205080756888
1,"patch",1,384,"shape",1
1,"patch",1,385,"shape",1.06066017177982
1,"patch",1,386,"shape",1.5
1,"patch",1,387,"shape",1.06066017177982
1,"patch",1,388,"shape",1
1,"patch",1,389,"shape",1.06066017177982
1,"patch",1,390,"shape",1.06066017177982
1,"patch",1,391,"shape",1
1,"patch",1,392,"shape",2.5
1,"patch",1,393,"shape",1.06066017177982
1,"patch",1,394,"shape",1
1,"patch",1,395,"shape",2.83333333333333
1,"patch",1,396,"shape",1
1,"patch",1,397,"shape",1
1,"patch",1,398,"shape",1
1,"patch",1,399,"shape",1.73205080756888
1,"patch",1,400,"shape",1.06066017177982
1,"patch",1,401,"shape",1
1,"patch",1,402,"shape",2.11057941204435
1,"patch",1,403,"shape",1.78885438199983
1,"patch",1,404,"shape",1
1,"patch",1,405,"shape",2.25
1,"patch",1,406,"shape",2.05548047910945
1,"patch",1,407,"shape",1.73205080756888
1,"patch",1,408,"shape",1.06066017177982
1,"patch",1,409,"shape",1.06066017177982
1,"patch",1,410,"shape",1
1,"patch",1,411,"shape",1.51185789203691
1,"patch",1,412,"shape",1
1,"patch",1,413,"shape",1
1,"patch",1,414,"shape",2
1,"patch",1,415,"shape",2.21359436211787
1,"patch",1,416,"shape",2.45373864405591
1,"patch",1,417,"shape",1
1,"patch",1,418,"shape",1.41421356237309
1,"patch",1,419,"shape",1
1,"patch",1,420,"shape",2.65165042944955
1,"patch",1,421,"shape",1
1,"patch",1,422,"shape",2.50050741846308
1,"patch",1,423,"shape",1.06066017177982
1,"patch",1,424,"shape",1
1,"patch",1,425,"shape",2.29809703885628
1,"patch",1,426,"shape",2.21359436211787
1,"patch",1,427,"shape",2.07880460155075
1,"patch",1,428,"shape",2.44948974278318
1,"patch",1,429,"shape",1
1,"patch",1,430,"shape",2
1,"patch",1,431,"shape",1
1,"patch",1,432,"shape",1
1,"patch",1,433,"shape",1
1,"patch",1,434,"shape",1.73205080756888
1,"patch",1,435,"shape",1.06066017177982
1,"patch",1,436,"shape",1.83333333333333
1,"patch",1,437,"shape",1
1,"patch",1,438,"shape",1.35224680756563
1,"patch",1,439,"shape",1.41421356237309
1,"patch",1,440,"shape",1.88982236504614
1,"patch",1,441,"shape",2.86435777348875
1,"patch",1,442,"shape",1
1,"patch",1,443,"shape",1.41421356237309
1,"patch",1,444,"shape",1.15470053837925
1,"patch",1,445,"shape",3.16586911806652
1,"patch",1,446,"shape",1.15470053837925
1,"patch",1,447,"shape",1
1,"patch",1,448,"shape",1.35010548111123
1,"patch",1,449,"shape",1.06066017177982
1,"patch",1,450,"shape",1
1,"patch",1,451,"shape",1.59099025766973
1,"patch",1,452,"shape",1
1,"patch",1,453,"shape",1
1,"patch",1,454,"shape",1.42886901662352
1,"patch",1,455,"shape",1.88982236504614
1,"patch",1,456,"shape",1.42302494707577
1,"patch",1,457,"shape",1.34164078649987
1,"patch",1,458,"shape",3.60631924478187
1,"patch",1,459,"shape",1
1,"patch",1,460,"shape",1.25
1,"patch",1,461,"shape",1.41421356237309
1,"patch",1,462,"shape",1.15470053837925
1,"patch",1,463,"shape",2.41209075662211
1,"patch",1,464,"shape",1.06066017177982
1,"patch",1,465,"shape",1
1,"patch",1,466,"shape",2.71360210119987
1,"patch",1,467,"shape",1.61608673480267
1,"patch",1,468,"shape",1.41421356237309
1,"patch",1,469,"shape",2.16666666666667
1,"patch",1,470,"shape",1
1,"patch",1,471,"shape",1
1,"patch",1,472,"shape",1
1,"patch",1,473,"shape",1
1,"patch",1,474,"shape",1.88982236504614
1,"patch",1,475,"shape",1.73205080756888
1,"patch",1,476,"shape",1.39262124764558
1,"patch",1,477,"shape",1.5
1,"patch",1,478,"shape",2
1,"patch",1,479,"shape",1.16666666666667
1,"patch",1,480,"shape",2.65165042944955
1,"patch",1,481,"shape",1
1,"patch",1,482,"shape",1.06066017177982
1,"patch",1,483,"shape",1
1,"patch",1,484,"shape",1.54919333848297
1,"patch",1,485,"shape",1
1,"patch",1,486,"shape",1
1,"patch",1,487,"shape",2.71360210119987
1,"patch",1,488,"shape",1.51185789203691
1,"patch",1,489,"shape",1.88982236504614
1,"patch",1,490,"shape",1
1,"patch",1,491,"shape",1
1,"patch",1,492,"shape",1.5
1,"patch",1,493,"shape",1
1,"patch",1,494,"shape",1
1,"patch",1,495,"shape",1.65645675521592
1,"patch",1,496,"shape",1
1,"patch",1,497,"shape",1
1,"patch",1,498,"shape",2.23606797749979
1,"patch",1,499,"shape",1
1,"patch",1,500,"shape",1.5
1,"patch",1,501,"shape",1
1,"patch",1,502,"shape",1.22474487139159
1,"patch",1,503,"shape",1.06066017177982
1,"patch",1,504,"shape",1.33394593769983
1,"patch",1,505,"shape",1.25
1,"patch",1,506,"shape",2
1,"patch",1,507,"shape",1
1,"patch",1,508,"shape",1.3228756555323
1,"patch",1,509,"shape",1.42373699362875
1,"patch",1,510,"shape",2.44948974278318
1,"patch",1,511,"shape",2.45676907455998
1,"patch",1,512,"shape",1.25723711418742
1,"patch",1,513,"shape",2.47487373415292
1,"patch",1,514,"shape",1
1,"patch",1,515,"shape",1
1,"patch",1,516,"shape",1
1,"patch",1,517,"shape",1
1,"patch",1,518,"shape",2.23606797749979
1,"patch",1,519,"shape",1.18321595661992
1,"patch",1,520,"shape",1.83711730708738
1,"patch",1,521,"shape",1
1,"patch",1,522,"shape",1.06066017177982
1,"patch",1,523,"shape",1.06066017177982
1,"patch",1,524,"shape",1
1,"patch",1,525,"shape",1
1,"patch",1,526,"shape",1.06066017177982
1,"patch",1,527,"shape",1
1,"patch",1,528,"shape",1.83951157020047
1,"patch",1,529,"shape",1
1,"patch",1,530,"shape",1
1,"patch",1,531,"shape",1
1,"patch",1,532,"shape",3.75
1,"patch",1,533,"shape",1
1,"patch",1,534,"shape",1.41421356237309
1,"patch",1,535,"shape",1
1,"patch",1,536,"shape",2.23606797749979
1,"patch",1,537,"shape",1
1,"patch",1,538,"shape",1.34164078649987
1,"patch",1,539,"shape",1
1,"patch",1,540,"shape",1
1,"patch",1,541,"shape",1
1,"patch",1,542,"shape",1.80277563773199
1,"patch",1,543,"shape",1.83532587096449
1,"patch",1,544,"shape",1
1,"patch",1,545,"shape",1
1,"patch",1,546,"shape",1.06066017177982
1,"patch",1,547,"shape",1.06066017177982
1,"patch",1,548,"shape",1.06066017177982
1,"patch",1,549,"shape",1.88982236504614
1,"patch",1,550,"shape",2.56284642891099
1,"patch",1,551,"shape",1.96698948117361
1,"patch",1,552,"shape",1.06066017177982
1,"patch",1,553,"shape",1.70084012854152
1,"patch",1,554,"shape",1.13150476371204
1,"patch",1,555,"shape",2.00738767136742
1,"patch",1,556,"shape",1.44337567297406
1,"patch",1,557,"shape",1.98051735149981
1,"patch",1,558,"shape",1.20267558860591
1,"patch",1,559,"shape",1
1,"patch",1,560,"shape",1
1,"patch",1,561,"shape",1
1,"patch",1,562,"shape",1.15470053837925
1,"patch",1,563,"shape",1
1,"patch",1,564,"shape",1.88982236504614
1,"patch",1,565,"shape",1.73205080756888
1,"patch",1,566,"shape",1.65373773157913
1,"patch",1,567,"shape",1.44337567297406
1,"patch",1,568,"shape",1
1,"patch",1,569,"shape",1.15470053837925
1,"patch",1,570,"shape",1.83333333333333
1,"patch",1,571,"shape",2
1,"patch",1,572,"shape",1
1,"patch",1,573,"shape",1
1,"patch",1,574,"shape",1
1,"patch",1,575,"shape",1
1,"patch",1,576,"shape",1
1,"patch",1,577,"shape",1.06066017177982
1,"patch",1,578,"shape",2.04124145231932
1,"patch",1,579,"shape",1.73205080756888
1,"patch",1,580,"shape",1.56524758424985
1,"patch",1,581,"shape",2
1,"patch",1,582,"shape",1
