"layer","level","class","id","metric","value","areasqkm"
1,"patch",1,108,"area",0.02,2e-04
1,"patch",1,109,"area",0.01,1e-04
1,"patch",1,110,"area",0.01,1e-04
1,"patch",1,111,"area",0.01,1e-04
1,"patch",1,112,"area",2.44,0.0244
1,"patch",1,113,"area",0.01,1e-04
1,"patch",1,114,"area",0.01,1e-04
1,"patch",1,115,"area",5.19,0.0519
1,"patch",1,116,"area",0.31,0.0031
1,"patch",1,117,"area",0.03,3e-04
1,"patch",1,118,"area",0.11,0.0011
1,"patch",1,119,"area",0.01,1e-04
1,"patch",1,120,"area",0.21,0.0021
1,"patch",1,121,"area",0.07,7e-04
1,"patch",1,122,"area",0.03,3e-04
1,"patch",1,123,"area",0.34,0.0034
1,"patch",1,124,"area",0.11,0.0011
1,"patch",1,125,"area",0.06,6e-04
1,"patch",1,126,"area",0.01,1e-04
1,"patch",1,127,"area",0.08,8e-04
1,"patch",1,128,"area",31.92,0.3192
1,"patch",1,129,"area",20.52,0.2052
1,"patch",1,130,"area",12.63,0.1263
1,"patch",1,131,"area",0.06,6e-04
1,"patch",1,132,"area",4.79,0.0479
1,"patch",1,133,"area",0.08,8e-04
1,"patch",1,134,"area",0.01,1e-04
1,"patch",1,135,"area",0.01,1e-04
1,"patch",1,136,"area",0.01,1e-04
1,"patch",1,137,"area",0.01,1e-04
1,"patch",1,138,"area",0.88,0.0088
1,"patch",1,139,"area",0.02,2e-04
1,"patch",1,140,"area",0.19,0.0019
1,"patch",1,141,"area",0.08,8e-04
1,"patch",1,142,"area",0.05,5e-04
1,"patch",1,143,"area",0.11,0.0011
1,"patch",1,144,"area",0.05,5e-04
1,"patch",1,145,"area",0.01,1e-04
1,"patch",1,146,"area",0.1,0.001
1,"patch",1,147,"area",0.09,9e-04
1,"patch",1,148,"area",0.04,4e-04
1,"patch",1,149,"area",0.39,0.0039
1,"patch",1,150,"area",0.01,1e-04
1,"patch",1,151,"area",0.06,6e-04
1,"patch",1,152,"area",0.01,1e-04
1,"patch",1,153,"area",424.07,4.2407
1,"patch",1,154,"area",0.12,0.0012
1,"patch",1,155,"area",0.03,3e-04
1,"patch",1,156,"area",0.48,0.0048
1,"patch",1,157,"area",14.99,0.1499
1,"patch",1,158,"area",0.03,3e-04
1,"patch",1,159,"area",8.96,0.0896
1,"patch",1,160,"area",0.02,2e-04
1,"patch",1,161,"area",0.02,2e-04
1,"patch",1,162,"area",136.26,1.3626
1,"patch",1,163,"area",0.09,9e-04
1,"patch",1,164,"area",1.39,0.0139
1,"patch",1,165,"area",0.11,0.0011
1,"patch",1,166,"area",0.01,1e-04
1,"patch",1,167,"area",0.01,1e-04
1,"patch",1,168,"area",0.02,2e-04
1,"patch",1,169,"area",0.01,1e-04
1,"patch",1,170,"area",0.09,9e-04
1,"patch",1,171,"area",0.01,1e-04
1,"patch",1,172,"area",0.01,1e-04
1,"patch",1,173,"area",0.05,5e-04
1,"patch",1,174,"area",123.04,1.2304
1,"patch",1,175,"area",0.01,1e-04
1,"patch",1,176,"area",0.11,0.0011
1,"patch",1,177,"area",0.54,0.0054
1,"patch",1,178,"area",0.01,1e-04
1,"patch",1,179,"area",0.15,0.0015
1,"patch",1,180,"area",0.82,0.0082
1,"patch",1,181,"area",0.15,0.0015
1,"patch",1,182,"area",0.04,4e-04
1,"patch",1,183,"area",81.81,0.8181
1,"patch",1,184,"area",0.05,5e-04
1,"patch",1,185,"area",0.08,8e-04
1,"patch",1,186,"area",0.04,4e-04
1,"patch",1,187,"area",0.01,1e-04
1,"patch",1,188,"area",0.01,1e-04
1,"patch",1,189,"area",24.07,0.2407
1,"patch",1,190,"area",0.01,1e-04
1,"patch",1,191,"area",0.22,0.0022
1,"patch",1,192,"area",0.01,1e-04
1,"patch",1,193,"area",0.01,1e-04
1,"patch",1,194,"area",0.01,1e-04
1,"patch",1,195,"area",0.01,1e-04
1,"patch",1,196,"area",0.03,3e-04
1,"patch",1,197,"area",0.02,2e-04
1,"patch",1,198,"area",0.02,2e-04
1,"patch",1,199,"area",0.03,3e-04
1,"patch",1,200,"area",0.01,1e-04
1,"patch",1,201,"area",0.09,9e-04
1,"patch",1,202,"area",0.11,0.0011
1,"patch",1,203,"area",0.01,1e-04
1,"patch",1,204,"area",0.69,0.0069
1,"patch",1,205,"area",3.19,0.0319
1,"patch",1,206,"area",0.02,2e-04
1,"patch",1,207,"area",0.71,0.0071
1,"patch",1,208,"area",0.04,4e-04
1,"patch",1,209,"area",0.14,0.0014
1,"patch",1,210,"area",0.07,7e-04
1,"patch",1,211,"area",0.04,4e-04
1,"patch",1,212,"area",0.01,1e-04
1,"patch",1,213,"area",0.13,0.0013
1,"patch",1,214,"area",0.01,1e-04
1,"patch",1,215,"area",0.01,1e-04
1,"patch",1,216,"area",0.02,2e-04
1,"patch",1,217,"area",0.01,1e-04
1,"patch",1,218,"area",2.86,0.0286
