"layer","level","class","id","metric","value","prop_edge"
1,"patch",1,282,"cai",0,100
1,"patch",1,283,"cai",27.2862086010875,72.7137913989125
1,"patch",1,284,"cai",0,100
1,"patch",1,285,"cai",0,100
1,"patch",1,286,"cai",0,100
1,"patch",1,287,"cai",0,100
1,"patch",1,288,"cai",16.9151376146789,83.0848623853211
1,"patch",1,289,"cai",0,100
1,"patch",1,290,"cai",0,100
1,"patch",1,291,"cai",0,100
1,"patch",1,292,"cai",0,100
1,"patch",1,293,"cai",20.1299857549858,79.8700142450142
1,"patch",1,294,"cai",0,100
1,"patch",1,295,"cai",0,100
1,"patch",1,296,"cai",0,100
1,"patch",1,297,"cai",0,100
1,"patch",1,298,"cai",0,100
1,"patch",1,299,"cai",0,100
1,"patch",1,300,"cai",0,100
1,"patch",1,301,"cai",0,100
1,"patch",1,302,"cai",24.2717592185162,75.7282407814838
1,"patch",1,303,"cai",0,100
1,"patch",1,304,"cai",0,100
1,"patch",1,305,"cai",0,100
1,"patch",1,306,"cai",0,100
1,"patch",1,307,"cai",36.5149388409866,63.4850611590134
1,"patch",1,308,"cai",0,100
1,"patch",1,309,"cai",0,100
1,"patch",1,310,"cai",0,100
1,"patch",1,311,"cai",0,100
1,"patch",1,312,"cai",0,100
1,"patch",1,313,"cai",0,100
1,"patch",1,314,"cai",0,100
1,"patch",1,315,"cai",30.6398687448728,69.3601312551272
1,"patch",1,316,"cai",0,100
1,"patch",1,317,"cai",0,100
1,"patch",1,318,"cai",0,100
1,"patch",1,319,"cai",46.0786184524377,53.9213815475623
1,"patch",1,320,"cai",0,100
1,"patch",1,321,"cai",0,100
1,"patch",1,322,"cai",0,100
1,"patch",1,323,"cai",49.2505606042724,50.7494393957276
1,"patch",1,324,"cai",0,100
1,"patch",1,325,"cai",0,100
1,"patch",1,326,"cai",48.4800188890856,51.5199811109144
1,"patch",1,327,"cai",35.4270521768029,64.5729478231971
1,"patch",1,328,"cai",0,100
1,"patch",1,329,"cai",0,100
1,"patch",1,330,"cai",0,100
1,"patch",1,331,"cai",0,100
1,"patch",1,332,"cai",0,100
1,"patch",1,333,"cai",0,100
1,"patch",1,334,"cai",0,100
1,"patch",1,335,"cai",0,100
1,"patch",1,336,"cai",0,100
1,"patch",1,337,"cai",44.0745111260958,55.9254888739042
1,"patch",1,338,"cai",0,100
1,"patch",1,339,"cai",0,100
1,"patch",1,340,"cai",0,100
1,"patch",1,341,"cai",0,100
1,"patch",1,342,"cai",56.2871752060941,43.7128247939059
1,"patch",1,343,"cai",0,100
1,"patch",1,344,"cai",0,100
1,"patch",1,345,"cai",0,100
1,"patch",1,346,"cai",0,100
1,"patch",1,347,"cai",0,100
1,"patch",1,348,"cai",0,100
1,"patch",1,349,"cai",0,100
1,"patch",1,350,"cai",0,100
1,"patch",1,351,"cai",0,100
1,"patch",1,352,"cai",0,100
1,"patch",1,353,"cai",10.2519039250146,89.7480960749854
1,"patch",1,354,"cai",0,100
1,"patch",1,355,"cai",0,100
1,"patch",1,356,"cai",0,100
1,"patch",1,357,"cai",0,100
1,"patch",1,358,"cai",0,100
1,"patch",1,359,"cai",0,100
1,"patch",1,360,"cai",0,100
1,"patch",1,361,"cai",1.956745623069,98.043254376931
1,"patch",1,362,"cai",47.384565380787,52.615434619213
1,"patch",1,363,"cai",0,100
1,"patch",1,364,"cai",40.4637955513488,59.5362044486512
1,"patch",1,365,"cai",0,100
1,"patch",1,366,"cai",0,100
1,"patch",1,367,"cai",0,100
1,"patch",1,368,"cai",0,100
1,"patch",1,369,"cai",0,100
1,"patch",1,370,"cai",0,100
1,"patch",1,371,"cai",11.6770926422401,88.3229073577599
1,"patch",1,372,"cai",0,100
1,"patch",1,373,"cai",0,100
1,"patch",1,374,"cai",0,100
1,"patch",1,375,"cai",0,100
1,"patch",1,376,"cai",0,100
1,"patch",1,377,"cai",0,100
1,"patch",1,378,"cai",0,100
1,"patch",1,379,"cai",0,100
1,"patch",1,380,"cai",1.82450043440487,98.1754995655951
1,"patch",1,381,"cai",51.7992317419983,48.2007682580017
1,"patch",1,382,"cai",38.5040457864614,61.4959542135386
1,"patch",1,383,"cai",0,100
1,"patch",1,384,"cai",0,100
1,"patch",1,385,"cai",0,100
1,"patch",1,386,"cai",0,100
1,"patch",1,387,"cai",0,100
1,"patch",1,388,"cai",0,100
1,"patch",1,389,"cai",27.1552173459814,72.8447826540186
1,"patch",1,390,"cai",0,100
1,"patch",1,391,"cai",23.1828742117491,76.8171257882509
1,"patch",1,392,"cai",0,100
1,"patch",1,393,"cai",1.26422250316056,98.7357774968394
1,"patch",1,394,"cai",0,100
1,"patch",1,395,"cai",0.552995391705069,99.4470046082949
1,"patch",1,396,"cai",0,100
1,"patch",1,397,"cai",0,100
1,"patch",1,398,"cai",0,100
1,"patch",1,399,"cai",0,100
1,"patch",1,400,"cai",0,100
1,"patch",1,401,"cai",0,100
1,"patch",1,402,"cai",0,100
1,"patch",1,403,"cai",55.9753562945368,44.0246437054632
1,"patch",1,404,"cai",0,100
1,"patch",1,405,"cai",0,100
1,"patch",1,406,"cai",0,100
1,"patch",1,407,"cai",0,100
1,"patch",1,408,"cai",0,100
1,"patch",1,409,"cai",0,100
1,"patch",1,410,"cai",0,100
1,"patch",1,411,"cai",0,100
1,"patch",1,412,"cai",0,100
1,"patch",1,413,"cai",0,100
1,"patch",1,414,"cai",0,100
1,"patch",1,415,"cai",0,100
1,"patch",1,416,"cai",0,100
1,"patch",1,417,"cai",0,100
1,"patch",1,418,"cai",0,100
1,"patch",1,419,"cai",0,100
1,"patch",1,420,"cai",6.282722513089,93.717277486911
1,"patch",1,421,"cai",0,100
1,"patch",1,422,"cai",0,100
1,"patch",1,423,"cai",0,100
1,"patch",1,424,"cai",0,100
1,"patch",1,425,"cai",0,100
1,"patch",1,426,"cai",0,100
1,"patch",1,427,"cai",0,100
1,"patch",1,428,"cai",0.583657587548638,99.4163424124514
1,"patch",1,429,"cai",0,100
1,"patch",1,430,"cai",0,100
1,"patch",1,431,"cai",0,100
1,"patch",1,432,"cai",0,100
1,"patch",1,433,"cai",0,100
1,"patch",1,434,"cai",0,100
1,"patch",1,435,"cai",0,100
1,"patch",1,436,"cai",0,100
1,"patch",1,437,"cai",0,100
1,"patch",1,438,"cai",0,100
1,"patch",1,439,"cai",0,100
1,"patch",1,440,"cai",0,100
1,"patch",1,441,"cai",0,100
1,"patch",1,442,"cai",0,100
1,"patch",1,443,"cai",0,100
1,"patch",1,444,"cai",48.8039593071213,51.1960406928787
1,"patch",1,445,"cai",0,100
1,"patch",1,446,"cai",0,100
1,"patch",1,447,"cai",0,100
1,"patch",1,448,"cai",0,100
1,"patch",1,449,"cai",0,100
1,"patch",1,450,"cai",0,100
1,"patch",1,451,"cai",0,100
