"LCP_ID","Biomass_mean","Biomass_min","Biomass_max","Biomass_range","Origin","Cost","elevation_mean","elevation_min","elevation_max","elevation_range","slope_mean","slope_min","slope_max","slope_range","nPA","Start","PAareasqkm","LCP_areasqkm","pct_protected","nTotalRoads","nPrimaria","nSecundaria","nOtherRoads","nForestPatches","nAgPatches","pct_forest","pct_ag","LCP_density_min","LCP_density_max","LCP_density_median","LCP_density_mean","LCP_density_range","nIntersectingCorridors","LCP_pct_overlap","LCP_pct_unique","LCP_length_km","nTotalRoads_perkm","nForestPatches_perkm","nAgPatches_perkm"
"golfo_dulce_LCP_top5_1",80.0212780481295,1.22000002861023,145.84391784668,144.623917818069,"golfo_dulce_LCP_top5",11.6572602343986,589.840945601497,-6.17059946060181,1930.6533203125,1936.8239197731,15.1813925917007,0,65.2428131103516,65.2428131103516,4,"GD",92.6002423052281,220.919654925282,41.9158007179338,83,5,9,69,198,1199,75.605857729812,13.9822778604499,7,32,15,13.8467741935484,25,35,100,0,122.332022731482,0.678481383261227,1.6185459504304,9.80119492205074
"golfo_dulce_LCP_top5_11",79.0738848392155,1.22000002861023,168.731658935547,167.511658906937,"golfo_dulce_LCP_top5",10.655164246865,604.198846706938,-6.17059946060181,1582.73742675781,1588.90802621841,14.5996106461697,0,63.8071212768555,63.8071212768555,6,"GD",82.9541293783705,218.529621416075,37.9601304577505,176,5,12,159,254,1318,75.1195645406103,11.779684526606,4,20,10,10.7155172413793,16,36,100,0,114.747126923119,1.5338074662028,2.21356304781541,11.4861263662233
"golfo_dulce_LCP_top5_12",79.9302711904341,1.22000002861023,145.84391784668,144.623917818069,"golfo_dulce_LCP_top5",10.7940918604633,617.600384682079,-6.17059946060181,1685.35388183594,1691.52448129654,14.2673368732882,0,60.7388458251953,60.7388458251953,5,"GD",84.3287257966863,207.498401761133,40.6406628103881,156,5,13,138,228,1125,74.2279452240342,12.4669875914416,8,32,14,13.9557522123894,24,38,100,0,117.555432114776,1.32703352957513,1.93951054322519,9.56995333828216
"golfo_dulce_LCP_top5_13",80.3581060909555,1.22000002861023,145.84391784668,144.623917818069,"golfo_dulce_LCP_top5",10.9276409569938,630.568614499703,-6.17059946060181,1654.63916015625,1660.80975961685,14.2900920710653,0,60.7388458251953,60.7388458251953,5,"GD",87.8120195003781,213.494955825924,41.1307232813391,156,5,13,138,224,1135,74.8878114620944,12.2815548023435,8,32,14,13.7521367521368,24,38,100,0,115.05486388557,1.3558748820489,1.94689726653176,9.86485891747118
"golfo_dulce_LCP_top5_14",78.8954972758088,1.22000002861023,145.84391784668,144.623917818069,"golfo_dulce_LCP_top5",10.8456434185259,531.060437665189,-6.17059946060181,1702.84680175781,1709.01740121841,15.1591471261667,0,65.2428131103516,65.2428131103516,4,"GD",81.0677567285599,207.713495367157,39.0286421136304,83,5,9,69,197,1188,74.7573958666109,14.1616219726141,7,32,15,14.3913043478261,25,35,100,0,121.946987254406,0.680623620711884,1.61545606361736,9.74193808922552
"osa_LCP_top5_2",81.3795617089123,5.81228685379028,154.863327026367,149.051040172577,"osa_LCP_top5",14.7283166383205,557.951284235522,-2.48493719100952,1698.74536132812,1701.23029851913,14.5771909144726,9.93923349559222e-17,63.3632354736328,63.3632354736328,7,"Osa",151.723081051753,292.122469899622,51.9381754864278,158,1,9,148,285,1567,82.730164537854,11.752741927657,3,32,10,11.1989247311828,29,38,100,0,162.060147847324,0.974946660846264,1.7586063186151,9.66924947813984
"osa_LCP_top5_3",81.2988274295424,5.81228685379028,154.863327026367,149.051040172577,"osa_LCP_top5",14.7724879234069,535.109369366598,-2.48493719100952,1698.74536132812,1701.23029851913,14.618018323899,9.93923349559222e-17,63.3632354736328,63.3632354736328,7,"Osa",153.478899236509,281.169197917051,54.5859576274738,134,1,10,123,270,1397,82.4858845556836,12.180423835083,5,32,10,12.3184357541899,27,38,100,0,154.614247421001,0.866673041036962,1.74628150059686,9.03538983827341
"osa_LCP_top5_4",81.5804013142138,5.81228685379028,154.863327026367,149.051040172577,"osa_LCP_top5",14.9060370199375,546.196208031968,-2.48493719100952,1698.74536132812,1701.23029851913,14.62717562018,9.93923349559222e-17,63.3632354736328,63.3632354736328,7,"Osa",156.962192940201,287.165751981842,54.6590921295258,134,1,10,123,266,1407,82.8040246300106,12.0485467926509,5,32,10,12.224043715847,27,38,100,0,157.422552612658,0.85121221690332,1.68971977385286,8.93772827748486
"osa_LCP_top5_5",80.7645953485118,8.55594635009766,154.863327026367,146.30738067627,"osa_LCP_top5",14.8087975905863,477.738290888437,-2.48493719100952,1702.84680175781,1705.33173894882,15.2295278961489,9.93923349559222e-17,65.2428131103516,65.2428131103516,6,"Osa",150.209068596923,281.456235072278,53.3685347415912,61,1,6,54,236,1476,82.8673416810629,13.4350550060792,5,32,15,12.5193370165746,27,34,100,0,154.916945665408,0.393759376922836,1.52339693366868,9.52768590718206
"osa_LCP_top5_6",81.5056843661446,8.55594635009766,154.863327026367,146.30738067627,"osa_LCP_top5",15.620414406459,523.036154903188,-2.48493719100952,1930.6533203125,1933.13825750351,15.2425807315711,9.93923349559222e-17,65.2428131103516,65.2428131103516,6,"Osa",161.741554173592,294.662394630403,54.8904635002594,61,1,6,54,237,1487,83.1399949448193,13.3331571031583,5,32,13.5,12.2526315789474,27,34,100,0,161.809069034244,0.376987522170901,1.46468922548366,9.18984336832998
