"HC_ID","canopy_mean","elevation_range","pct_sinacbc","nTotalRoads","nPrimaria","nSecundaria","nOtherRoads","nForestPatches","meanForestPatchArea","nAgPatches","meanAgPatchArea","pct_forest","pct_ag","hc_areasqkm"
20278,24.5858408610026,7.7037353515625,100,0,0,0,0,1,424.844343685983,0,0,100,0,0.000299885058710861
20279,23.5222403208415,10.570068359375,100,0,0,0,0,1,424.844343685983,0,0,100,0,0.000299885474744551
20280,16.6949819564819,0,0,0,0,0,0,1,3.20149809660797,0,0,100,0,0.000499848216533013
20281,28.7835540771484,0,100,0,0,0,0,1,424.844343685983,0,0,100,0,9.99626299830707e-05
20282,13,0,100,0,0,0,0,1,4.91706518168768,0,0,100,0,9.98819984781876e-05
20283,24.6272811889648,0,0,0,0,0,0,1,1.08839729369102,0,0,100,0,0.000799776108803497
20284,17.1140699386597,0.403897285461426,100,0,0,0,0,0,0,0,0,0,0,9.98808640696952e-05
20285,29.5941829000201,5.71305847167969,100,0,0,0,0,1,424.844343685983,0,0,100,0,0.00239831214456121
20286,27.4380956616318,2.308349609375,0,0,0,0,0,1,1.44628185943101,0,0,100,0,0.00509851755549851
20287,11.3879823684692,1.16477012634277,100,0,0,0,0,1,4.91706518168768,0,0,100,0,0.00019976406768286
20288,16,1.58956336975098,100,0,0,0,0,0,0,0,0,0,100,9.98810180728469e-05
20289,21,0,100,0,0,0,0,1,4.91706518168768,0,0,100,0,9.98875935462565e-05
20290,19.8516387939453,10.2913970947266,100,1,0,0,0,0,0,0,0,0,0,0.000399555906525668
20291,22.9276943206787,1.951904296875,100,0,0,0,0,1,5.17193953635443,0,0,100,0,9.99640697516079e-05
20292,15.0908670425415,0,100,0,0,0,0,1,5.17193953635443,0,0,100,0,9.99646046011112e-05
20293,12.0020713806152,0.337747573852539,100,0,0,0,0,1,4.91706518168768,0,0,100,0,9.98812146287528e-05
20294,12,0,100,0,0,0,0,1,4.91706518168768,0,0,100,0,9.98812565551489e-05
20295,12.3003673553467,0,100,0,0,0,0,1,4.91706518168768,0,0,100,0,9.98812986722187e-05
20296,24.9979589110927,79.7330322265625,100,0,0,0,0,1,0.0465818885533964,0,0,99.2188956125308,0.819990872830833,0.0121952576929024
20297,16,0,100,0,0,0,0,1,4.91706518168768,0,0,100,0,9.98813685699133e-05
20298,16,0,100,0,0,0,0,1,4.91706518168768,0,0,100,0,9.98814107616636e-05
20299,30,11.7532958984375,100,0,0,0,0,1,424.844343685983,0,0,100,0,9.99626517618599e-05
20300,24.4809217453003,0,100,0,0,0,0,1,0.0130958992085925,0,0,100,0,0.000199937394050932
20301,14.8133956610812,9.8545126914978,100,0,0,0,0,1,24.612857430679,0,0,99.1332264103046,0.942901418515651,0.233322376740436
20302,29.7928594861712,19.08935546875,100,0,0,0,0,1,424.844343685983,0,0,85.7462995793552,0,0.000699738651047817
20303,30,1.004150390625,100,0,0,0,0,1,5.17193953635443,0,0,100,0,0.000199926024380402
20304,16.6147797902425,1.37679290771484,100,0,0,0,0,0,0,0,0,0,100,0.000199796486739549
20305,24,0.1748046875,100,0,0,0,0,1,2.68470250757244,0,0,100,0,9.99659043303618e-05
20306,18,10.6351318359375,100,0,0,0,0,1,0.000799733174936591,0,0,100,0,9.99666259207079e-05
20307,26,3.83946228027344,100,0,0,0,0,1,424.844343685983,0,0,100,0,0.000499648282023736
20308,17.2962017059326,16.03125,100,0,0,0,0,1,424.844343685983,0,0,100,0,0.000499791073196269
20309,19.6881572723389,0,100,0,0,0,0,1,0.000799733174936591,0,0,100,0,0.000399866629571807
20310,22.6532695770264,2.1366081237793,100,0,0,0,0,1,4.91706518168768,0,0,100,0,0.000499429360138936
20311,12.117787361145,0,100,0,0,0,0,1,153.699149743542,0,0,100,0,9.98921156624347e-05
20312,24.7390470504761,0,100,0,0,0,0,1,2.68470250757244,0,0,100,0,9.99659360949008e-05
20313,23,6.12109375,100,0,0,0,0,1,1.28178541075577,0,0,100,0,0.000299900429759713
20314,20.5748310089111,7.2886962890625,100,0,0,0,0,1,1.28178541075577,0,0,100,0,9.99668800588697e-05
20315,14.4605522155762,1.0633864402771,100,0,0,0,0,1,0.000699463053304353,0,0,100,0,9.99232933110834e-05
20316,25,14.2805633544922,100,0,0,0,0,1,424.844343685983,0,0,100,0,9.99305263389397e-05
20317,25,7.971435546875,100,0,0,0,0,1,2.68470250757244,0,0,100,0,9.9965957123808e-05
20318,24.9116028376988,0,100,0,0,0,0,1,424.844343685983,0,0,86.6990404480788,0,0.00149943989377659
20319,25.3236806869507,0,100,0,0,0,0,1,0.000599794405180299,0,0,75.0257082249686,0,0.00079972587289795
20320,15,0,100,0,0,0,0,1,0.000699463053304353,0,0,100,0,9.99232812610353e-05
20321,20.2675085067749,4.5047607421875,100,0,0,0,0,1,424.844343685983,0,0,100,0,0.00179924728152546
20322,15.7873740196228,1.07857704162598,100,0,0,0,0,1,24.612857430679,0,0,100,0,0.000199846512225078
20323,29.9778845906258,13.797607421875,100,0,0,0,0,1,5.17193953635443,0,0,100,0,0.00319881431900244
20324,18.7526473999023,0.0689697265625,100,0,0,0,0,1,0.00229918508500232,0,0,100,0,9.99645615567642e-05
20325,23,0,100,0,0,0,0,0,0,0,0,0,100,9.98971496476297e-05
20326,17.860151052475,0,100,0,0,0,0,1,424.844343685983,0,0,75.0312286496941,25.010409549898,0.000799667033044709
20327,23.6941538916694,0,100,0,0,0,0,1,5.17193953635443,0,0,100,0,0.000899685145057556
20328,17.7892065048218,0.00607156753540039,100,0,0,0,0,1,24.612857430679,0,0,100,0,0.000199846462945978
20329,23.2789559731117,35.7135009765625,100,0,0,0,0,1,0.748647590592636,0,0,93.3092308604928,0.840623701445881,0.0118959291568866
20330,17,0,100,0,0,0,0,1,0.00399866207178838,0,0,100,0,9.99665718874749e-05
20331,19.4823341369629,0,100,0,0,0,0,1,1.28178541075577,0,0,100,0,9.99667102759413e-05
